               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.035179,            0.010155,           0.0053622,             0.95539,             0.95112,              0.9288,             0.61657,            0.033677,           0.0059547,           0.0026236,           0.0075844,           0.0075844,           0.0075844
                 124,            0.034831,            0.011343,           0.0094947,             0.95539,             0.95112,              0.9288,             0.61657,            0.033677,           0.0059547,           0.0026236,           0.0075646,           0.0075646,           0.0075646
                 125,            0.033269,            0.010999,            0.011251,             0.93148,             0.94837,              0.9288,             0.62682,            0.032518,            0.005889,           0.0037332,           0.0075448,           0.0075448,           0.0075448
                 126,            0.034149,            0.011081,           0.0042409,             0.95498,             0.94854,             0.93355,             0.55348,            0.035602,           0.0059883,           0.0029382,            0.007525,            0.007525,            0.007525
                 127,            0.039104,            0.010296,           0.0067749,             0.96899,             0.95238,             0.93008,             0.56678,            0.043189,           0.0061869,           0.0017013,           0.0075052,           0.0075052,           0.0075052
                 128,            0.042615,            0.011139,           0.0046672,             0.96899,             0.95238,             0.93008,             0.56678,            0.043189,           0.0061869,           0.0017013,           0.0074854,           0.0074854,           0.0074854
                 129,            0.041981,            0.011728,           0.0074508,             0.92486,             0.95238,             0.93009,             0.62982,            0.038241,           0.0060297,           0.0016081,           0.0074656,           0.0074656,           0.0074656
                 130,            0.031579,            0.010806,           0.0080048,              0.9489,             0.95238,             0.92773,             0.58053,            0.034421,           0.0058847,           0.0016983,           0.0074458,           0.0074458,           0.0074458
                 131,            0.033734,             0.01105,           0.0063403,             0.95769,             0.94418,             0.92771,             0.60741,            0.035559,           0.0057795,           0.0018579,            0.007426,            0.007426,            0.007426
                 132,            0.035545,            0.012508,           0.0067631,             0.95769,             0.94418,             0.92771,             0.60741,            0.035559,           0.0057795,           0.0018579,           0.0074062,           0.0074062,           0.0074062
                 133,            0.031991,            0.011048,           0.0056783,             0.95182,             0.93716,              0.9277,             0.63669,            0.033659,           0.0057541,           0.0020136,           0.0073864,           0.0073864,           0.0073864
                 134,            0.029138,            0.011549,            0.003014,             0.95027,             0.93334,              0.9277,             0.65385,            0.033823,           0.0058245,           0.0024181,           0.0073666,           0.0073666,           0.0073666
                 135,            0.034252,             0.01087,           0.0057885,             0.96793,             0.93426,             0.92772,             0.57915,            0.037003,           0.0059227,           0.0020959,           0.0073468,           0.0073468,           0.0073468
                 136,             0.03617,            0.011644,           0.0039981,             0.96793,             0.93426,             0.92772,             0.57915,            0.037003,           0.0059227,           0.0020959,            0.007327,            0.007327,            0.007327
                 137,            0.037532,            0.010389,           0.0079227,              0.9602,             0.94963,             0.92773,             0.63021,             0.03438,           0.0058457,           0.0018867,           0.0073072,           0.0073072,           0.0073072
                 138,            0.029327,            0.010832,           0.0040422,             0.71455,             0.95089,             0.91713,             0.65367,            0.035205,           0.0060267,           0.0026436,           0.0072874,           0.0072874,           0.0072874
                 139,            0.036104,             0.01203,           0.0086377,             0.96838,             0.95238,             0.92774,             0.70569,            0.031321,           0.0056663,           0.0014481,           0.0072676,           0.0072676,           0.0072676
                 140,             0.02642,            0.011105,           0.0045516,             0.96838,             0.95238,             0.92774,             0.70569,            0.031321,           0.0056663,           0.0014481,           0.0072478,           0.0072478,           0.0072478
                 141,            0.029064,            0.010766,           0.0030916,             0.96901,             0.95238,             0.93017,             0.66337,            0.029821,           0.0056503,           0.0014722,            0.007228,            0.007228,            0.007228
                 142,            0.031764,              0.0104,           0.0036625,             0.96801,             0.95238,             0.92892,             0.70279,            0.031806,           0.0058384,           0.0014871,           0.0072082,           0.0072082,           0.0072082
                 143,            0.034495,            0.011434,           0.0042664,             0.96682,             0.95238,             0.93138,             0.53671,            0.038308,           0.0061225,           0.0015204,           0.0071884,           0.0071884,           0.0071884
                 144,            0.034462,            0.010576,            0.005897,             0.96682,             0.95238,             0.93138,             0.53671,            0.038308,           0.0061225,           0.0015204,           0.0071686,           0.0071686,           0.0071686
                 145,            0.032838,            0.010982,           0.0075472,             0.96368,             0.95238,             0.93139,             0.56671,            0.037011,           0.0060902,           0.0015971,           0.0071488,           0.0071488,           0.0071488
                 146,            0.033337,           0.0088071,           0.0071138,             0.93858,              0.9332,             0.93016,             0.64252,            0.036381,           0.0059482,           0.0024835,            0.007129,            0.007129,            0.007129
                 147,            0.041764,            0.011712,           0.0054221,             0.86215,             0.94842,             0.93014,             0.69409,            0.031407,           0.0056627,           0.0034598,           0.0071092,           0.0071092,           0.0071092
                 148,            0.030579,            0.011148,           0.0064917,             0.86215,             0.94842,             0.93014,             0.69409,            0.031407,           0.0056627,           0.0034598,           0.0070894,           0.0070894,           0.0070894
                 149,            0.033581,            0.012749,           0.0055766,             0.85924,             0.93275,             0.93138,             0.71171,            0.031002,           0.0056216,           0.0046599,           0.0070696,           0.0070696,           0.0070696
                 150,            0.030333,            0.010838,             0.01195,             0.92843,             0.93123,             0.93137,             0.69708,            0.031354,           0.0056457,           0.0029685,           0.0070498,           0.0070498,           0.0070498
                 151,            0.033169,             0.01062,           0.0067059,             0.94392,             0.93162,             0.93137,             0.59884,            0.034115,           0.0058212,           0.0023766,             0.00703,             0.00703,             0.00703
                 152,            0.036416,             0.01251,           0.0033832,             0.94392,             0.93162,             0.93137,             0.59884,            0.034115,           0.0058212,           0.0023766,           0.0070102,           0.0070102,           0.0070102
                 153,            0.030314,            0.010233,           0.0036569,             0.93706,             0.93159,             0.93616,             0.70694,            0.030403,            0.005624,           0.0025833,           0.0069904,           0.0069904,           0.0069904
                 154,            0.026995,            0.010454,           0.0061973,             0.96453,             0.95238,              0.9374,             0.65251,            0.031677,           0.0055902,           0.0014467,           0.0069706,           0.0069706,           0.0069706
